Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude(meters),VpsAltitude(feet),VpsAltitude(meters),HSpeed(mph),HSpeed(m/s),GpsSpeed(mph),GpsSpeed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,GpsLevel,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,Yaw(360),RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,105.9,1m 45.9s,55.30878556,10.46367416,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.7,0.2,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
2,106,1m 46s,55.30878553,10.46367413,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.7,0.2,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1.1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
3,106.1,1m 46.1s,55.30878558,10.46367402,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.6,0.2,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1.1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
4,106.2,1m 46.2s,55.30878558,10.46367395,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.7,0.2,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1.1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
5,106.3,1m 46.3s,55.30878559,10.46367387,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.8,0.2,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1.1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
6,106.4,1m 46.4s,55.3087856,10.46367381,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.8,0.2,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
7,106.5,1m 46.5s,55.30878572,10.46367375,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.8,0.2,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
8,106.6,1m 46.6s,55.30878574,10.46367375,Starting Motors,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.8,0.2,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1.1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
9,106.7,1m 46.7s,55.30878575,10.46367377,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,1.1,0.5,0.8,0.3,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1.1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
10,106.8,1m 46.8s,55.30878576,10.4636738,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.8,0.2,55.30878494,10.46367709,20,5,86,24.415,0,6.104,6.104,6.104,6.104,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1024,,,,,
11,106.9,1m 46.9s,55.30878576,10.46367383,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.8,0.2,55.30878494,10.46367709,20,5,86,24.399,0,6.1,6.1,6.1,6.1,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1062,,,,,
12,107,1m 47s,55.30878574,10.46367397,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.8,0.2,55.30878494,10.46367709,20,5,86,24.399,0,6.1,6.1,6.1,6.1,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1067,,,,,
13,107.1,1m 47.1s,55.30878568,10.46367399,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.6,0.2,55.30878494,10.46367709,20,5,86,24.399,0,6.1,6.1,6.1,6.1,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1069,,,,,
14,107.2,1m 47.2s,55.30878563,10.46367402,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,1.1,0.5,0.8,0.2,55.30878494,10.46367709,20,5,86,24.399,0,6.1,6.1,6.1,6.1,0,0,0,-2.9,-1.1,61.2,61.2,1024,1024,1024,1024,1076,,,,,
15,107.3,1m 47.3s,55.30878561,10.46367403,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.7,0.2,55.30878494,10.46367709,20,5,86,24.399,0,6.1,6.1,6.1,6.1,0,0,0,-2.9,-1.1,61.2,61.2,1024,1024,1024,1024,1069,,,,,
16,107.4,1m 47.4s,55.30878551,10.46367404,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,1.1,0.5,0.7,0.2,55.30878494,10.46367709,20,5,86,24.399,0,6.1,6.1,6.1,6.1,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1084,,,,,
17,107.5,1m 47.5s,55.3087855,10.46367405,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.6,0.2,55.30878494,10.46367709,20,5,86,24.399,0,6.1,6.1,6.1,6.1,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1084,,,,,
18,107.6,1m 47.6s,55.30878548,10.46367411,Manual Takeoff,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.6,0.2,55.30878494,10.46367709,20,5,86,24.399,0,6.1,6.1,6.1,6.1,0,0,0,-2.9,-1,61.2,61.2,1024,1024,1024,1024,1107,,,,,
